,userId,similar_user_1,similar_user_2,similar_user_3,similar_user_4,similar_user_5
4332,1073.0,825.0,271.0,761.0,1095.0,1073.0
4340,1074.0,533.0,882.0,229.0,400.0,1074.0
4345,1076.0,682.0,741.0,766.0,368.0,1076.0
4360,1077.0,741.0,392.0,150.0,229.0,1077.0
4361,1078.0,212.0,20.0,471.0,981.0,1078.0
4363,1079.0,882.0,1120.0,191.0,1041.0,1079.0
4370,1080.0,848.0,567.0,825.0,1002.0,1080.0
4375,1081.0,56.0,741.0,682.0,611.0,1081.0
4376,1082.0,1082.0,661.0,731.0,1010.0,1082.0
4380,1084.0,1084.0,110.0,76.0,471.0,1084.0
4382,1086.0,56.0,1086.0,559.0,225.0,1086.0
4384,1087.0,516.0,1087.0,283.0,46.0,1087.0
4386,1090.0,332.0,117.0,1145.0,514.0,1090.0
4387,1092.0,1092.0,1104.0,523.0,56.0,1092.0
